Country,Year,Mission Name,Mission Type,Launch Site,Satellite Type,Budget (in Billion $),Success Rate (%),Technology Used,Environmental Impact,Collaborating Countries,Duration (in Days),Crew Size,Mission Risk Level,Success Probability
China,2021.0,Inverse bifurcated Graphical User Interface,Unmanned,North Terrance,Communication,20.75,99.0,Solar Propulsion,High,UK,155.0,12.0,Low,0.006
UK,2013.0,Cross-group stable framework,Unmanned,Richardside,Communication,17.74,84.0,Traditional Rocket,Medium,Japan,280.0,52.0,Medium,0.134
China,2009.0,Configurable 6thgeneration Graphic Interface,Unmanned,East Jennifer,Communication,10.18,79.0,Reusable Rocket,Low,"USA, UK, China",1.0,94.0,Low,0.293
India,2009.0,Stand-alone systemic knowledge user,Unmanned,North Susan,Navigation,42.22,65.0,AI Navigation,Medium,"France, UK",149.0,51.0,Low,0.789
Japan,2017.0,Persistent heuristic process improvement,Unmanned,Fischerfort,Research,6.12,94.0,Solar Propulsion,Medium,"India, Germany, China",253.0,71.0,Medium,0.885
Japan,2019.0,Multi-channeled radical archive,Unmanned,Jacobchester,Weather,40.11,93.0,AI Navigation,Medium,"UAE, USA",112.0,96.0,High,0.618
China,2024.0,Public-key disintermediate matrix,Manned,Kathrynmouth,Research,29.52,73.0,Traditional Rocket,Low,"Israel, USA, Germany",303.0,48.0,High,0.383
China,2020.0,Optimized maximized complexity,Unmanned,West Danielville,Communication,2.53,60.0,Traditional Rocket,High,"UK, USA, Israel",88.0,19.0,Medium,0.666
Germany,2009.0,Quality-focused incremental hierarchy,Manned,Andersonchester,Weather,18.6,96.0,Traditional Rocket,Medium,China,216.0,6.0,Medium,0.181
UK,2008.0,Integrated multi-state methodology,Unmanned,Meganstad,Research,26.76,57.0,Traditional Rocket,Low,Germany,207.0,84.0,High,0.458
USA,2000.0,Right-sized methodical policy,Manned,Thomaston,Research,30.08,99.0,AI Navigation,Medium,"UAE, France",22.0,27.0,High,0.508
France,2019.0,Optional cohesive project,Manned,New Stephanieberg,Spy,4.23,74.0,Reusable Rocket,High,"Israel, USA",54.0,53.0,High,0.105
USA,2011.0,Fully-configurable zero-defect archive,Unmanned,Howardbury,Communication,29.61,86.0,Reusable Rocket,Medium,UK,184.0,48.0,Medium,0.034
India,2022.0,Object-based hybrid forecast,Manned,New Melissashire,Spy,45.01,81.0,Solar Propulsion,Medium,"Russia, China, Japan",73.0,7.0,Low,0.75
Japan,2005.0,Synergized exuding hierarchy,Manned,Leeview,Communication,25.47,86.0,Traditional Rocket,High,"UAE, UK",194.0,59.0,Medium,0.535
China,2020.0,Distributed explicit open architecture,Manned,Ryanshire,Spy,6.64,88.0,Solar Propulsion,High,"USA, Israel, Germany",337.0,69.0,High,0.332
Germany,2021.0,Cross-group clear-thinking projection,Unmanned,South Brianshire,Spy,40.12,75.0,Traditional Rocket,Low,USA,116.0,11.0,Low,0.437
France,2005.0,Total hybrid policy,Manned,Salinasbury,Spy,22.97,61.0,AI Navigation,Medium,Israel,349.0,15.0,Medium,0.958
USA,2023.0,Open-architected incremental pricing structure,Manned,New Jacob,Communication,15.26,96.0,Nuclear Propulsion,High,"UAE, Japan, France",98.0,64.0,High,0.385
India,2023.0,Progressive incremental core,Unmanned,Flowersview,Weather,34.2,100.0,Solar Propulsion,Low,Israel,20.0,3.0,Medium,0.103
Japan,2005.0,Reverse-engineered optimal model,Manned,Reginaland,Communication,12.33,54.0,Solar Propulsion,Medium,"UAE, USA, Japan",67.0,69.0,Low,0.464
Germany,2003.0,Seamless next generation budgetary management,Manned,Johnstad,Spy,16.02,90.0,Traditional Rocket,Medium,"Germany, Israel",77.0,23.0,High,0.648
India,2014.0,Business-focused high-level migration,Unmanned,Burtonmouth,Research,21.19,91.0,AI Navigation,Low,"Japan, Russia, France",220.0,53.0,Medium,0.012
UAE,2021.0,Versatile empowering protocol,Unmanned,North Ryanport,Weather,21.65,93.0,Reusable Rocket,Medium,"Russia, Israel",223.0,37.0,Low,0.332
Germany,2011.0,Assimilated system-worthy product,Unmanned,Lake Kevintown,Weather,41.24,91.0,Traditional Rocket,Medium,USA,20.0,9.0,Low,0.394
China,2008.0,Front-line maximized architecture,Unmanned,Jordanburgh,Communication,8.86,57.0,Nuclear Propulsion,High,"UK, Japan, Israel",110.0,15.0,Medium,0.464
UAE,2009.0,Cloned analyzing utilization,Unmanned,North Williamstad,Weather,14.14,66.0,Reusable Rocket,High,"Russia, France",126.0,3.0,Low,0.302
Japan,2018.0,Pre-emptive human-resource adapter,Manned,New Chadton,Research,39.21,77.0,AI Navigation,High,"Japan, USA",105.0,93.0,High,0.667
India,2015.0,Grass-roots intermediate Graphic Interface,Unmanned,Jonesmouth,Navigation,20.69,76.0,Traditional Rocket,High,"UK, China, Israel",210.0,70.0,Low,0.945
UK,2022.0,Business-focused optimal open architecture,Unmanned,Mitchellhaven,Spy,30.63,86.0,Traditional Rocket,High,"UAE, India, UK",101.0,17.0,Medium,0.914
China,2003.0,Reverse-engineered secondary throughput,Unmanned,Gomezbury,Navigation,7.97,92.0,Traditional Rocket,Medium,"Russia, India, Japan",300.0,26.0,High,0.664
France,2005.0,Grass-roots empowering Local Area Network,Manned,Martinhaven,Navigation,34.81,97.0,Solar Propulsion,Low,"Japan, UAE, UK",39.0,21.0,Low,0.507
India,2014.0,Synergized user-facing emulation,Unmanned,Robertsshire,Research,3.77,84.0,Solar Propulsion,Medium,France,202.0,72.0,Low,0.826
China,2003.0,Advanced maximized implementation,Unmanned,Williamsside,Navigation,17.39,79.0,Traditional Rocket,High,UK,123.0,21.0,High,0.836
France,2009.0,Multi-lateral logistical archive,Manned,Martinport,Communication,9.03,89.0,Nuclear Propulsion,Medium,"Japan, UK, UAE",144.0,11.0,High,0.83
Israel,2017.0,Open-source asymmetric solution,Unmanned,Michaelview,Research,20.13,71.0,Traditional Rocket,High,"Germany, Russia, China",93.0,38.0,Low,0.158
France,2014.0,Cross-platform foreground system engine,Unmanned,Port Michael,Navigation,19.44,86.0,Traditional Rocket,High,"Russia, India",305.0,72.0,High,
UAE,2004.0,Profound holistic knowledgebase,Manned,North Jeffrey,Communication,10.49,55.0,Traditional Rocket,Low,Israel,278.0,88.0,Medium,0.983
France,2013.0,Integrated asymmetric pricing structure,Manned,South Christopher,Weather,49.14,86.0,Solar Propulsion,Medium,"Japan, Israel",228.0,35.0,Low,0.96
China,2000.0,Ergonomic grid-enabled circuit,Unmanned,East Christy,Research,46.43,86.0,AI Navigation,High,USA,118.0,14.0,Medium,0.564
USA,2014.0,Realigned tangible alliance,Unmanned,Taylorberg,Weather,11.02,84.0,Nuclear Propulsion,Medium,"Germany, USA, UK",76.0,14.0,Low,0.993
UAE,2002.0,Implemented systematic flexibility,Unmanned,Lauraside,Weather,13.51,96.0,Traditional Rocket,Medium,France,335.0,10.0,Medium,0.771
France,2022.0,Synergized multi-state process improvement,Manned,Masonburgh,Research,36.08,99.0,Nuclear Propulsion,High,China,94.0,12.0,Medium,0.517
France,2013.0,Intuitive intangible firmware,Unmanned,Karenshire,Research,36.8,90.0,Solar Propulsion,Medium,Russia,276.0,38.0,High,0.389
France,2022.0,Programmable global matrices,Manned,Lake Jefferyview,Communication,28.06,52.0,Nuclear Propulsion,Medium,"Israel, Japan",64.0,34.0,Low,0.593
UK,2000.0,Digitized interactive productivity,Unmanned,Kennedymouth,Communication,6.1,54.0,AI Navigation,Low,"UK, Israel, Russia",166.0,41.0,High,0.516
USA,2002.0,Business-focused cohesive functionalities,Manned,Johnsonchester,Research,33.53,89.0,Reusable Rocket,,"France, UK",279.0,10.0,High,0.994
UK,2020.0,Monitored optimal access,Unmanned,Morganside,Communication,26.65,59.0,Traditional Rocket,Medium,"India, Russia, USA",4.0,17.0,Low,0.49
France,2017.0,Persevering transitional architecture,Unmanned,New Julie,Navigation,41.12,64.0,Traditional Rocket,Medium,"India, Russia, Israel",246.0,17.0,Medium,0.836
India,2015.0,Optional reciprocal methodology,Unmanned,Millerland,Research,13.63,87.0,Solar Propulsion,Low,"Israel, Japan, Germany",100.0,67.0,Low,0.814
Russia,2004.0,Triple-buffered attitude-oriented superstructure,Manned,Larabury,Navigation,49.87,76.0,AI Navigation,High,China,356.0,62.0,Low,0.071
Germany,2016.0,Multi-tiered well-modulated success,Manned,Lake Stephanie,Weather,7.41,86.0,Nuclear Propulsion,Medium,"Japan, China",191.0,95.0,Low,0.087
Japan,2019.0,De-engineered tangible migration,Manned,Julianstad,Research,24.46,83.0,Reusable Rocket,Low,India,28.0,1.0,High,0.66
USA,2018.0,Progressive system-worthy ability,Manned,Keyton,Research,18.61,82.0,Nuclear Propulsion,High,"India, China",218.0,12.0,Low,0.259
Russia,2002.0,Secured mobile collaboration,Unmanned,North Bonnie,Research,26.31,72.0,Reusable Rocket,Medium,"China, France",162.0,4.0,Low,0.658
UAE,2016.0,Multi-layered zero-defect hub,Manned,Bookerville,Communication,22.47,85.0,Reusable Rocket,Low,USA,4.0,42.0,Low,0.145
Japan,2001.0,Organic real-time archive,Manned,New Sherriberg,Weather,12.21,77.0,Solar Propulsion,Low,Russia,123.0,13.0,Medium,0.397
Russia,2008.0,Advanced bi-directional matrix,Manned,Nelsonberg,Navigation,37.25,54.0,Solar Propulsion,High,"UK, Russia",280.0,98.0,Medium,0.102
Israel,2005.0,Intuitive radical methodology,Unmanned,Harrisville,Navigation,17.58,88.0,Traditional Rocket,Low,India,158.0,85.0,Medium,0.282
Israel,2001.0,Triple-buffered uniform hub,Unmanned,West Samanthastad,Communication,30.75,81.0,AI Navigation,Medium,"Germany, UK",297.0,86.0,Medium,0.088
France,2010.0,Cross-group demand-driven synergy,Unmanned,Briannabury,Weather,33.9,73.0,Solar Propulsion,Low,"India, USA",151.0,4.0,High,0.971
China,2002.0,Reactive eco-centric attitude,Manned,New Matthewport,Weather,12.56,87.0,Solar Propulsion,High,"UK, Russia",69.0,82.0,High,0.395
India,2014.0,Mandatory background toolset,Manned,Wellsfurt,Communication,22.92,66.0,Solar Propulsion,High,Germany,119.0,69.0,Low,0.901
USA,2012.0,Decentralized directional ability,Unmanned,Port David,Weather,10.86,70.0,AI Navigation,Low,"Russia, China",2.0,19.0,High,0.971
India,2021.0,Universal cohesive website,Unmanned,Tinastad,Navigation,30.85,89.0,AI Navigation,,Japan,332.0,2.0,Medium,0.91
Russia,2001.0,Grass-roots asynchronous middleware,Unmanned,Port Cory,Spy,43.9,52.0,Reusable Rocket,High,UK,100.0,12.0,Low,0.455
Germany,2012.0,Enhanced fault-tolerant budgetary management,Manned,Johnberg,Weather,8.75,51.0,Traditional Rocket,Low,UK,33.0,81.0,Low,0.779
China,2014.0,Vision-oriented systemic leverage,Unmanned,Susanside,Communication,21.69,92.0,Solar Propulsion,Low,"France, Japan",107.0,74.0,Medium,0.154
Israel,2021.0,Reverse-engineered logistical methodology,Manned,New Tamarafort,Communication,40.74,70.0,Reusable Rocket,High,UK,171.0,98.0,Medium,0.095
Israel,2013.0,Multi-channeled homogeneous customer loyalty,Unmanned,Glendastad,Navigation,21.35,68.0,Nuclear Propulsion,High,"UAE, India, Israel",347.0,6.0,Medium,0.877
UAE,2018.0,Vision-oriented clear-thinking throughput,Unmanned,Port Tara,Spy,22.24,84.0,Nuclear Propulsion,High,"Israel, UAE",67.0,8.0,High,0.031
China,2008.0,Virtual attitude-oriented archive,Unmanned,Lake Kaitlyn,Communication,3.17,68.0,Solar Propulsion,Low,"Germany, Israel, China",178.0,51.0,Low,0.972
Israel,2020.0,Enhanced 5thgeneration implementation,Manned,South Kim,Communication,4.63,87.0,Reusable Rocket,High,Germany,340.0,11.0,Medium,0.672
Israel,2000.0,Open-architected bi-directional installation,Manned,South Scottbury,Navigation,40.65,87.0,AI Navigation,Low,UAE,350.0,63.0,Low,0.42
,2002.0,Customer-focused tangible protocol,Manned,West Douglas,Spy,27.68,98.0,Traditional Rocket,High,"France, India, Russia",265.0,57.0,Low,0.141
UK,2023.0,Function-based optimizing Local Area Network,Manned,West Zoemouth,Weather,31.38,90.0,Nuclear Propulsion,Medium,Israel,9.0,12.0,High,0.723
UK,2024.0,Advanced secondary core,Unmanned,North Paula,Communication,31.07,76.0,Nuclear Propulsion,Medium,Germany,174.0,73.0,Low,0.563
Israel,2018.0,Managed next generation focus group,Manned,Wendyberg,Research,36.71,61.0,Reusable Rocket,High,"USA, China",53.0,2.0,Medium,0.711
Japan,2009.0,Vision-oriented 24/7 database,Manned,Louisshire,Navigation,45.73,68.0,Solar Propulsion,Medium,"Germany, India",259.0,8.0,Medium,0.418
Russia,2003.0,Persevering 3rdgeneration firmware,Manned,New Anthonyfurt,Communication,38.27,55.0,Solar Propulsion,High,"UK, UAE, Russia",292.0,11.0,Low,0.066
Japan,2023.0,Synergistic scalable database,Manned,West Helenland,Spy,20.48,91.0,AI Navigation,Low,"UAE, India",191.0,53.0,,0.315
Japan,2019.0,Customizable leadingedge process improvement,Unmanned,Richardmouth,Navigation,30.97,61.0,Traditional Rocket,High,"USA, UAE",209.0,100.0,High,
Russia,2023.0,Streamlined zero tolerance moratorium,Unmanned,Port Mandy,Weather,34.84,50.0,Traditional Rocket,High,UAE,299.0,10.0,Medium,0.009
China,2021.0,Up-sized coherent info-mediaries,Manned,South Sarah,Communication,10.64,80.0,Nuclear Propulsion,High,Russia,251.0,85.0,Medium,0.01
Russia,2011.0,Profit-focused scalable knowledge user,Manned,North Jesse,Research,38.13,100.0,Solar Propulsion,Medium,"Russia, UK, UAE",245.0,84.0,Low,0.331
UAE,2010.0,Distributed dynamic circuit,Unmanned,Masontown,Communication,2.88,95.0,Reusable Rocket,Medium,China,241.0,8.0,Low,0.728
UK,2017.0,Synchronized user-facing Local Area Network,Manned,West Pamelaville,Weather,4.43,67.0,Reusable Rocket,Medium,"UAE, Israel, Germany",274.0,36.0,Low,0.624
France,2025.0,Cross-platform modular website,Unmanned,West Michaelborough,Spy,8.29,90.0,Reusable Rocket,Medium,"USA, UAE, China",320.0,93.0,Medium,0.239
Germany,2025.0,Assimilated bi-directional matrix,Manned,Harrisonside,Communication,8.14,89.0,Reusable Rocket,Medium,"India, China, Germany",159.0,76.0,Low,0.603
Russia,2007.0,Robust empowering contingency,Manned,Hernandezchester,Communication,7.45,56.0,Reusable Rocket,Low,Russia,287.0,14.0,High,0.647
Germany,2002.0,Streamlined cohesive alliance,Manned,North James,Weather,31.84,90.0,Nuclear Propulsion,High,"Germany, UK, France",185.0,54.0,High,0.523
India,2013.0,Diverse high-level orchestration,Unmanned,North Davidhaven,Navigation,8.13,92.0,AI Navigation,Medium,"USA, Russia, India",157.0,85.0,Low,0.521
France,2018.0,Business-focused reciprocal methodology,Manned,West Brian,Spy,19.22,57.0,Traditional Rocket,High,"UK, China",242.0,86.0,High,0.37
China,2002.0,Customer-focused demand-driven moderator,Manned,Morsehaven,Research,42.51,59.0,Traditional Rocket,High,"Germany, Russia, USA",344.0,21.0,High,0.123
UAE,2004.0,Object-based disintermediate data-warehouse,Unmanned,Port William,Spy,48.12,65.0,Nuclear Propulsion,Medium,"France, USA, UAE",278.0,50.0,High,0.385
UAE,2008.0,Cloned object-oriented algorithm,Unmanned,Jamesburgh,Weather,4.09,79.0,Solar Propulsion,Medium,India,124.0,94.0,High,0.345
China,2023.0,Secured 3rdgeneration focus group,Manned,Haroldhaven,Communication,16.52,61.0,Solar Propulsion,Medium,"USA, India, Israel",303.0,39.0,High,0.592
Russia,2017.0,Business-focused needs-based knowledgebase,Unmanned,Port Lindseyfort,Communication,23.44,90.0,Reusable Rocket,Low,France,304.0,20.0,Medium,0.856
China,2018.0,Synchronized leadingedge instruction set,Unmanned,Thomasshire,Spy,19.29,88.0,Solar Propulsion,Medium,"China, Japan, France",90.0,88.0,Low,0.375
Russia,2011.0,Expanded user-facing toolset,Manned,Lake Spencerport,Navigation,47.63,57.0,Nuclear Propulsion,Low,"Japan, India, UAE",27.0,87.0,High,0.71
Israel,2020.0,Upgradable well-modulated extranet,Unmanned,Garciaton,Spy,28.21,87.0,Reusable Rocket,High,India,40.0,7.0,Low,0.812
Russia,2016.0,Exclusive regional service-desk,Manned,Salasmouth,Research,40.12,87.0,Traditional Rocket,Medium,"Japan, USA, China",48.0,9.0,High,0.212
India,2008.0,Intuitive human-resource Local Area Network,Unmanned,Sanchezmouth,Communication,26.36,83.0,Solar Propulsion,Medium,"India, France",187.0,1.0,Medium,0.902
France,2014.0,Vision-oriented global infrastructure,Manned,Port Amyville,Spy,7.02,58.0,Traditional Rocket,High,"UAE, Germany, Japan",297.0,26.0,Medium,0.07
Germany,2018.0,Multi-tiered didactic knowledge user,Manned,Martinezstad,Navigation,43.74,93.0,Solar Propulsion,Low,UK,76.0,38.0,High,0.902
China,2023.0,Horizontal static approach,Unmanned,Payneside,Navigation,3.15,77.0,Traditional Rocket,High,"Japan, UAE, France",361.0,38.0,High,0.164
Japan,2004.0,Horizontal reciprocal matrix,Manned,Moniquestad,Spy,2.61,73.0,Nuclear Propulsion,Medium,China,137.0,61.0,High,0.337
China,2021.0,Upgradable disintermediate array,Unmanned,New Laurastad,Communication,44.78,78.0,Reusable Rocket,Low,"Germany, Japan, USA",188.0,44.0,Medium,0.605
Israel,2005.0,Proactive discrete architecture,Unmanned,North Curtisland,Navigation,37.07,78.0,Traditional Rocket,Low,"Japan, Germany, Russia",324.0,86.0,Medium,0.906
Japan,2007.0,Advanced bi-directional emulation,Unmanned,Isabelberg,Navigation,5.41,80.0,AI Navigation,High,UAE,358.0,44.0,Low,0.256
Israel,2008.0,Open-source holistic interface,Manned,Mclaughlinborough,Communication,16.2,59.0,Reusable Rocket,High,"Germany, Japan, USA",153.0,,Medium,0.764
USA,2022.0,Progressive coherent matrix,Manned,North Courtney,Weather,10.32,86.0,Reusable Rocket,High,"Japan, Russia",260.0,62.0,High,0.71
UK,2021.0,Synchronized clear-thinking functionalities,Manned,Nicolemouth,Research,45.79,96.0,Solar Propulsion,Low,"USA, Israel",346.0,6.0,Low,0.16
Japan,2021.0,Customizable modular attitude,Unmanned,East Jenniferbury,Navigation,33.84,65.0,AI Navigation,Low,"India, USA, UAE",246.0,17.0,Medium,0.479
UAE,2016.0,Multi-layered zero-defect hub,Manned,Bookerville,Communication,22.47,85.0,Reusable Rocket,Low,USA,4.0,51.0,Medium,0.482
China,2002.0,Persistent interactive knowledgebase,Unmanned,Lake Richard,Weather,45.58,67.0,Solar Propulsion,Low,"India, UK, China",262.0,38.0,High,0.305
India,2021.0,Universal cohesive website,Unmanned,Tinastad,Navigation,30.85,89.0,AI Navigation,High,Japan,,24.0,Low,0.78
Russia,2025.0,Total 4thgeneration Internet solution,Unmanned,Lake William,Communication,34.71,59.0,Reusable Rocket,Low,USA,33.0,51.0,Medium,
France,2003.0,Operative full-range time-frame,Manned,Brownland,Spy,44.64,100.0,Nuclear Propulsion,High,"India, USA, France",305.0,10.0,Medium,0.717
USA,2007.0,Reduced 5thgeneration paradigm,Manned,North Brittanyside,Navigation,37.9,76.0,Reusable Rocket,Medium,"India, Russia, China",217.0,72.0,High,0.973
UAE,2007.0,Streamlined empowering strategy,Unmanned,Meganside,Spy,9.14,84.0,Nuclear Propulsion,Low,Japan,173.0,21.0,Low,0.05
India,2015.0,Centralized multi-tasking monitoring,Unmanned,Elizabethside,Spy,47.9,61.0,Reusable Rocket,Low,"India, Germany, Russia",154.0,70.0,Low,0.037
UK,2024.0,Adaptive local structure,Unmanned,Richardshaven,Research,17.98,78.0,Solar Propulsion,High,"Israel, Russia, USA",,85.0,Low,0.894
UK,2002.0,Future-proofed analyzing challenge,Manned,New Christopherstad,Research,40.99,92.0,Nuclear Propulsion,Medium,"India, Japan",323.0,57.0,Low,0.898
China,2013.0,Face-to-face systematic implementation,Manned,Port Hollyburgh,Navigation,,65.0,Reusable Rocket,High,"USA, UK",153.0,39.0,High,0.107
India,2003.0,Networked bandwidth-monitored approach,Unmanned,Gregoryhaven,Communication,3.71,100.0,Nuclear Propulsion,High,"UK, Russia, France",312.0,88.0,Medium,0.357
Israel,2021.0,Exclusive static orchestration,Unmanned,New Jeremiah,Weather,38.17,98.0,Solar Propulsion,Medium,"UK, India, Israel",206.0,33.0,Medium,0.835
Israel,2009.0,Optimized holistic workforce,Manned,Smithchester,Navigation,19.5,82.0,Traditional Rocket,Low,India,95.0,59.0,Low,0.129
USA,2004.0,Profound modular emulation,Manned,New Samanthamouth,Navigation,11.71,100.0,Solar Propulsion,Low,"UAE, UK",61.0,18.0,Low,0.267
UK,2002.0,Front-line clear-thinking focus group,Manned,Robertville,Spy,44.45,95.0,Traditional Rocket,Medium,Germany,41.0,56.0,Low,0.681
France,2020.0,Reduced asynchronous product,Manned,South Timothy,Weather,12.19,60.0,Solar Propulsion,High,"China, USA",113.0,92.0,Medium,0.982
Germany,2024.0,Optional web-enabled secured line,Manned,Port Miguelberg,Weather,7.63,58.0,Traditional Rocket,High,Germany,6.0,57.0,Medium,0.797
India,2010.0,Horizontal client-driven access,Manned,Norrisburgh,Spy,38.21,96.0,Reusable Rocket,High,"USA, Japan",222.0,96.0,Low,0.777
Germany,2006.0,Mandatory secondary instruction set,Unmanned,New Lorishire,Communication,14.38,95.0,AI Navigation,High,UAE,102.0,76.0,High,0.343
China,2015.0,Versatile radical algorithm,Manned,Bethanyhaven,Weather,44.84,79.0,Nuclear Propulsion,Medium,"UK, UAE",308.0,48.0,Medium,0.661
USA,2011.0,Implemented content-based info-mediaries,Manned,South Kimberly,Navigation,22.91,56.0,Traditional Rocket,Medium,UAE,339.0,42.0,Medium,0.113
UAE,2003.0,Centralized mobile standardization,Manned,Davidsonshire,Research,33.6,96.0,AI Navigation,Medium,"France, China",200.0,27.0,Low,0.992
USA,2021.0,Decentralized intangible capacity,Unmanned,Patrickmouth,Weather,49.3,77.0,AI Navigation,Low,Japan,75.0,74.0,High,0.481
USA,2018.0,Front-line 5thgeneration database,Manned,Brookehaven,Spy,0.83,100.0,Solar Propulsion,Low,"Germany, USA, UK",17.0,52.0,Low,0.639
UK,2013.0,Horizontal user-facing secured line,Manned,Amyshire,Communication,33.33,90.0,Reusable Rocket,High,"Israel, China, India",273.0,42.0,Low,0.876
China,2002.0,Universal actuating Graphic Interface,Manned,Bakerborough,Weather,33.41,87.0,AI Navigation,Medium,India,200.0,32.0,High,0.001
Russia,2011.0,Proactive needs-based extranet,Manned,New Lisastad,Spy,14.11,55.0,Solar Propulsion,High,"UK, India",308.0,26.0,High,0.976
France,2014.0,Synergistic multi-state forecast,Unmanned,Castrohaven,Spy,33.88,72.0,Solar Propulsion,Medium,"China, Russia, France",242.0,25.0,High,0.359
Israel,2008.0,Grass-roots bi-directional utilization,Manned,Port Emily,Spy,18.54,100.0,Solar Propulsion,Medium,India,123.0,75.0,Medium,0.34
India,2013.0,User-friendly needs-based throughput,Manned,East Matthew,Navigation,44.73,94.0,Nuclear Propulsion,Low,"India, UK, Russia",360.0,23.0,Low,0.145
USA,2000.0,Implemented modular installation,Unmanned,Goodmanberg,Spy,25.22,92.0,Nuclear Propulsion,Low,USA,25.0,98.0,Medium,0.858
Israel,2012.0,Grass-roots upward-trending policy,Unmanned,Melissastad,Communication,39.44,91.0,Reusable Rocket,Medium,"Israel, China",97.0,57.0,High,0.871
Japan,2006.0,Synergized cohesive adapter,Unmanned,North Shawn,Weather,1.5,57.0,Traditional Rocket,Low,"UK, UAE, India",114.0,52.0,Medium,0.02
Germany,2025.0,Re-engineered demand-driven protocol,Unmanned,Lake Nicholas,Communication,27.23,62.0,Nuclear Propulsion,High,France,205.0,87.0,High,0.056
Russia,2024.0,Configurable directional matrices,Unmanned,New Raymondmouth,Communication,42.86,98.0,AI Navigation,Medium,USA,318.0,93.0,High,0.918
Israel,2009.0,Profound modular Local Area Network,Manned,Port Krystal,Communication,27.79,58.0,AI Navigation,High,"China, Japan, UAE",134.0,31.0,Low,0.123
Japan,2020.0,Front-line disintermediate framework,Unmanned,New Stephanie,Spy,44.98,91.0,Reusable Rocket,Low,"UK, Japan",202.0,64.0,Low,0.621
UK,2012.0,Enterprise-wide holistic open system,Manned,West Ashley,Communication,25.49,59.0,Solar Propulsion,Medium,"UK, Russia",242.0,71.0,Low,0.62
USA,2004.0,Triple-buffered explicit collaboration,Unmanned,West Jaclynfort,Communication,31.82,83.0,Reusable Rocket,Medium,"China, Russia",78.0,33.0,Medium,0.87
Russia,2018.0,Face-to-face mobile protocol,Manned,Kennethhaven,Weather,29.2,86.0,Traditional Rocket,Medium,"Germany, Japan, China",298.0,85.0,Low,0.573
Russia,2001.0,Multi-lateral zero administration paradigm,Manned,Port Kathleen,Research,2.62,97.0,AI Navigation,Medium,"UK, France",57.0,2.0,High,0.434
Israel,2024.0,Organized executive instruction set,Manned,Jacobmouth,Communication,20.72,98.0,Nuclear Propulsion,High,"France, UK",142.0,18.0,Low,0.974
USA,2011.0,Implemented content-based info-mediaries,Manned,South Kimberly,Navigation,22.91,56.0,Traditional Rocket,Medium,UAE,339.0,47.0,Medium,0.229
Japan,2012.0,Progressive even-keeled matrices,Unmanned,Jennifermouth,Communication,21.75,79.0,AI Navigation,Low,France,135.0,33.0,Low,0.263
Israel,2012.0,Virtual dedicated monitoring,Manned,East Lisa,Spy,27.41,91.0,AI Navigation,High,"Germany, France, USA",213.0,98.0,Low,0.085
UAE,2016.0,Multi-layered zero-defect hub,Manned,Bookerville,Communication,22.47,85.0,Reusable Rocket,Low,USA,4.0,84.0,Low,0.975
UAE,2009.0,Decentralized bottom-line neural-net,Manned,Matthewfort,Communication,1.9,76.0,Solar Propulsion,High,"Russia, UK",289.0,35.0,Medium,0.706
India,2020.0,Realigned 4thgeneration synergy,Manned,Burnsfort,Research,41.01,71.0,Solar Propulsion,Medium,"France, India",181.0,51.0,High,0.012
UAE,2013.0,User-friendly full-range toolset,Unmanned,Luisland,Spy,13.39,54.0,Solar Propulsion,Low,"India, France",68.0,18.0,High,0.704
UAE,2013.0,Synergized stable utilization,Unmanned,New Michael,Spy,6.98,87.0,Solar Propulsion,Low,Japan,356.0,88.0,High,0.404
Israel,2020.0,Re-engineered homogeneous focus group,Manned,West Amyton,Communication,40.73,99.0,AI Navigation,Medium,UAE,72.0,72.0,Low,0.968
Germany,2011.0,Open-source context-sensitive software,Manned,Montgomeryview,Navigation,15.23,70.0,Traditional Rocket,Low,"Israel, Germany, UK",248.0,30.0,Low,0.277
USA,2025.0,Diverse optimal solution,Manned,New Bethville,Navigation,22.04,99.0,Nuclear Propulsion,Low,"Japan, Israel, China",15.0,44.0,Medium,
Russia,2004.0,Focused solution-oriented algorithm,Manned,New Kathleenport,Communication,11.18,57.0,Nuclear Propulsion,Medium,"Russia, Japan, Germany",220.0,53.0,High,0.627
USA,2012.0,Innovative heuristic product,Unmanned,Roblesfurt,Navigation,13.0,77.0,Solar Propulsion,Medium,"USA, Russia",152.0,10.0,Low,0.012
China,2022.0,Secured actuating analyzer,Manned,West Staceyton,Communication,28.96,65.0,AI Navigation,Low,India,328.0,87.0,Low,0.885
UAE,2012.0,Robust 3rdgeneration Graphic Interface,Unmanned,East Kathleenshire,Weather,33.3,88.0,Reusable Rocket,Medium,"Japan, India, China",199.0,52.0,Low,0.14
Israel,2014.0,Right-sized background capability,Manned,East Eric,Navigation,43.31,76.0,AI Navigation,Low,"Japan, USA, France",235.0,49.0,Medium,0.664
Israel,2023.0,Assimilated human-resource groupware,Manned,Teresaview,Research,18.25,54.0,Nuclear Propulsion,High,"Russia, UK",272.0,11.0,High,0.776
UK,2017.0,Quality-focused global capacity,Manned,Port Susanshire,Spy,15.46,81.0,Solar Propulsion,Medium,"USA, France, China",203.0,66.0,Medium,0.631
Russia,2023.0,Future-proofed system-worthy support,Unmanned,Port Jasonton,Research,11.82,54.0,Reusable Rocket,High,China,364.0,58.0,High,0.097
